Region,Country/Area,Text
North America,Native America,"Long, long ago, animals and trees talked with each other, but there was no fire at that time. Fox was most clever and he tried to think of a way to create fire for the world.One day, he decided to visit the Geese, te-tl, whose cry he wished to learn how to imitate. They promised to teach him if he would fly with them. So they contrived a way to attach wings to Fox, but cautioned him never to open his eyes while flying.Whenever the Geese arose in flight, Fox also flew along with them to practice their cry. On one such adventure, darkness descended suddenly as they flew over the village of the fireflies, ko-na- tcic-a. In mid-flight, the glare from the flickering fireflies caused Fox to forget and he opened his eyes--instantly his wings collapsed! His fall was uncontrollable. He landed within the walled area of the firefly village, where a fire constantly burned in the center.Two kind fireflies came to see fallen Fox, who gave each one a necklace of juniper berries, katl-te-i-tse.Fox hoped to persuade the two fireflies to tell him where he could find a way over the wall to the outside. They led him to a cedar tree, which they explained would bend down upon command and catapult him over the wall if he so desired.That evening, Fox found the spring where fireflies obtained their water. There also, he discovered colored Earth, which when mixed with water made paint. He decided to give himself a coat of white. Upon returning to the village, Fox suggested to the fireflies, ""Let's have a festival where we can dance and I will produce the music.""They all agreed that would be fun and helped to gather wood to build up a greater fire. Secretly, Fox tied a piece of cedar bark to his tail. Then he made a drum, probably the first one ever constructed, and beat it vigorously with a stick for the dancing fireflies. Gradually, he moved closer and closer to the fire.Fox pretended to tire from beating the drum. He gave it to some fireflies who wanted to help make the music. Fox quickly thrust his tail into the fire, lighting the bark, and exclaimed, ""It is too warm here for me, I must find a cooler place.""Straight to the cedar tree Fox ran, calling, ""Bend down to me, my cedar tree, bend down!""Down bent the cedar tree for Fox to catch hold, then up it carried him far over the wall. On and on he ran, with the fireflies in pursuit.As Fox ran along, brush and wood on either side of his path were ignited from the sparks dropping from the burning bark tied to his tail.Fox finally tired and gave the burning bark to Hawk, i-tsarl-tsu- i, who carried it to brown Crane, tsi-nes-tso-l. He flew far southward, scattering fire sparks everywhere. This is how fire first spread over the Earth.Fireflies continued chasing Fox all the way to his burrow and declared, ""Forever after, Wily Fox, your punishment for stealing our fire will be that you can never make use of it for yourself."""
North America,Native America,"Once upon a time there lived a woman some distance up Bella Coola River. She refused the offer of marriage from the young men of the tribe, because she desired to marry the Sun. She left her village and went to seek the Sun.Finally she reached his house, and married the Sun. After she had been there one day, she had a child. He grew very quickly, and on the second day of his life he was able to walk and to talk. After a short time he said to his mother, ""I should like to see your mother and your father""; and he began to cry, making his mother feel homesick.When the Sun saw that his wife felt downcast, and that his son was longing to see his grandparents, he said, ""You may return to the Earth to see your parents. Descend along my eyelashes."" His eyelashes were the rays of the Sun, which he extended down to his wife's home, where they lived with the woman's parents.The boy was playing with the children of the village, who were teasing him, saying that he had no father. He began to cry, and went to his mother, whom he asked for bow and arrows. His mother gave him what he requested. He went outside and began to shoot his arrows towards the sky. The first arrow struck the sky and stuck in it; the second arrow hit the notch of the first one; and thus he continued until a chain was formed, extending from the sky down to the place where he was standing. Then he ascended the chain.He found the house of the sun, which he entered. He told his father that the boys had been teasing him, and he asked him to let him carry the sun. But his father said, ""You cannot do it. I carry many torches. Early in the morning and late in the evening I burn small torches, but at noon I burn the large ones."" The boy insisted on his request. Then his father gave him the torches, warning him at the same time to observe carefully the instructions that he was giving him in regard to their use.Early the next morning, the young man started on the course of the sun, carrying the torches. Soon he grew impatient, and lighted all the torches at once. Then it grew very hot. The trees began to burn, and many animals jumped into the water to save themselves, but the water began to boil. Then his mother covered the people with her blanket, and thus saved them. The animals hid under stones.The ermine crept into a hole, which, however, was not quite large enough, so that the tip of its tail protruded from the entrance. It was scorched, and since that time the tip of the ermine's tail has been black. The mountain-goat hid in a cave, hence its skin is perfectly white. All the animals that did not hide were scorched, and therefore have black skins, but the skin on their lower side remained lighter.When the Sun saw what was happening, he said to his son, ""Why do you do so? Do you think it is good that there are no people on the Earth?""The Sun took him and cast him down from the heavens, saying, ""You shall be the mink, and future generations of man shall hunt you."""
North America,Native America,"Here in the dry desert, of the southwestern part of our country, there lived the Cahuillan Indian Tribe, and just to the north of them, off in the distance, was the very high range of mountains we today call the San Bernardino Mountains. It was considered a great and important achievement to be able to climb this mountain, and so all the young boys of the village looked forward to the day when they were old enough that they could try it on their own.One night, during the Fall season of the year, the Chief called all the boys together and said to them, ""Now, boys, you are of the proper age to accept this challenge, and you may now all go out tomorrow and seek to climb that mountain with my blessings. Start right after breakfast, and each of you, go as far as you can, and, when you are tired, come back, but you must bring back a twig from the place where you turned.""The boys were so excited they could hardly sleep that night.The next morning, away they all went, full of hope and dreams, each feeling that he could surely reach the top.Soon a fat, pudgy boy come slowly back, puffing and sweating all the way. As he stood before his Chief, he showed in his hand, that he held a piece of green Beavertail Cactus. ""My boy,"" the Chief smiled in disbelief, ""I can see you did not reach the foot of the mountain. In fact you did not get across the desert to even start the climb.""An hour passed. Then another boy returned carrying a twig of Black Sagebrush. ""Well,"" said the Chief, ""I can see you did reach the mountain's foot, but you did not start to climb.""Another hour passed, and a third boy returned. He held a young Cottonwood sapling. ""Good work,"" said the Chief, ""you got up as far as the springs! Very good!""A bit of a longer wait, and there came a boy with a part of some Buckthorn. The Chief smiled when he saw it, and said, ""You were actually climbing! I can see you were up to that first rock-slide. You are a hard working boy.""Later in the afternoon, one arrived with an Incense Cedar frond. ""Well done, my boy,"" said the Chief. ""You made it half way up! You have seen the heart of the mountain. Very good job.""An hour after that, one came with a branch of Ponderosa Pine, and to him the Chief said, ""Good job. You went to the third life zone. It looks like you made it three quarters of the way. I bet if you keep trying, next year you will undoubtedly reach the top!""The sun was low, and even the Chief was starting to worry a bit. There were many pitfalls on that mountain to overcome, and the last of his boys was still outside of camp. Could a Grizzly Bear have ambushed him? Or maybe he fell off a tall rock facing somewhere, never to be heard from again ? Maybe he had lost his way, or ran out of water.As it happened, just when the Chief was to send out a search party to look for the boy, he was at last returned. He was a tall, splendid boy of noble character, everyone already knew he was marked to be successful in life. He approached the Chief and held out his hand. It was empty, but his face was glowing with happiness when the boy said, ""My Chief, there were no trees where I came from. I saw no twigs, no living thing up on that peak. And far away I could see the glorious sight of the sun shining off the sea.""Now the old man's face started to glow too! He turned around, and said aloud with an almost musical tone in his voice, ""I knew it! I just knew it when I looked upon your face. You have been all the way to the top! It was written in your eyes! It rings in your voice! And it is alive in the way you carry your body! My boy, you need no twigs for token. You have felt the uplift in your spirit because you have seen the glory of the mountain!""Dearest Scouts, keep this in mind, that the badges that are offered you for your achievements, are not ""prizes"" to be ""won"". For prizes are things of value, taken by force or contest from their rightful owners. These badges, are then, just tokens, of what you have done, and where you have been. Remember this that as fun as these badges are to earn, they are just twigs collected from the trail, to show how far you got, during your climb to manhood."
North America,Native America,"Snow Bird, the Caddo medicine man, had a handsome son. When the boy was old enough to be given a man's name, Snow Bird called him Braveness because of his courage as a hunter. Many of the girls in the Caddo village wanted to win Braveness as a husband, but he paid little attention to any of them.One morning he started out for a day of hunting, and while he was walking along looking for wild game, he saw someone ahead of him sitting under a small elm tree. As he approached, he was surprised to find that the person was a young woman, and he started to turn aside.""Come here,"" she called to him in a pleasant voice. Braveness went up to her and saw that she was very young and very beautiful.""I knew you were coming here,"" she said, ""and so I came to meet you.""""You are not of my people,"" he replied. ""How did you know that I was coming this way?""""I am Buffalo Woman,"" she said. ""I have seen you many times before, from afar. I want you to take me home with you and let me stay with you.""""I can take you home with me,"" Braveness answered her, ""but you must ask my parents if you can stay with us.""They started for his home at once, and when they arrived there Buffalo Woman asked Braveness's parents if she could stay with them and become the young man's wife. ""If Braveness wants you for his wife, we will be pleased,"" said Snow Bird, the medicine man. ""It is time that he had someone to love.""And so Braveness and Buffalo Woman were married in the custom of the Caddo people and lived happily together for several moons. One day she asked him, ""Will you do whatever I may ask of you, Braveness?""""Yes,"" he replied, ""if what you ask is not unreasonable.""""I want you to go with me to visit my people.""Braveness said that he would go, and the next day they started for her home, she leading the way. After they had walked a long distance they came to some high hills, and all at once she turned round and looked at Braveness and said: ""You promised me that you would do anything I say.""""Yes,"" he answered.""Well,"" she said, ""my home is on the other side of this high hill. I will tell you when we get to my mother. I know there will be many coming there to see who you are, and some may provoke you and try to make you angry, but do not allow yourself to become angry with any of them. Some may try to kill you.""""Why should they do that?"" asked Braveness.""Listen to what I am about to tell you,"" she said. ""I knew you before you knew me. Through magic I made you come to me that first day. I said that some will try to make you angry, and if you show anger at even one of them, the others will join in fighting you until they have killed you. They will be jealous of you. The reason is that I refused many who wanted me.""""But you are now my wife,"" Braveness said.""I have told you what to do when we get there,"" Buffalo Woman continued. ""Now I want you to lie down on the ground and roll over twice.""Braveness smiled at her, but he did as she had told him to do. He rolled over twice, and when he stood up he found himself changed into a Buffalo.For a moment Buffalo Woman looked at him, seeing the astonishment in his eyes. Then she rolled over twice, and she also became a Buffalo. Without saying a word she led him to the top of the hill. In the valley off to the west, Braveness could see hundreds and hundreds of Buffalo.""They are my people,"" said Buffalo Woman. ""This is my home.""When the members of the nearest herd saw Braveness and Buffalo Woman coming, they began gathering in one place, as though waiting for them. Buffalo Woman led the way, Braveness following her until they reached an old Buffalo cow, and he knew that she was the mother of his beautiful wife.For two moons they stayed with the herd. Every now and then, four or five of the young Buffalo males would come around and annoy Braveness, trying to arouse his anger, but he pretended not to notice hem. One night, Buffalo Woman told him that she was ready to go back to his home, and they slipped away over the hills.When they reached the place where they had turned themselves into Buffalo, they rolled over twice on the ground and became a man and a woman again. ""Promise me that you will not tell anyone of this magical transformation,"" Buffalo Woman said. ""If people learn about it, something bad will happen to us.""They stayed at Braveness's home for twelve moons, and then Buffalo Woman asked him again to go with her to visit her people. They had not been long in the valley of the Buffalo when she told Braveness that the young males who were jealous of him were planning to have a foot-race. ""They will challenge you to race and if you do not outrun them they will kill you,"" she said.That night Braveness could not sleep. He went out to take a long walk. It was a very dark night without moon or stars, but he could feel the presence of the Wind spirit.""You are young and strong,"" the Wind spirit whispered to him, ""but you cannot outrun the Buffalo without my help. If you lose, they will kill you. If you win, they will never challenge you again.""What must I do to save my life and keep my beautiful wife?"" asked Braveness.The Wind spirit gave him two things. ""One of these is a magic herb,"" said the Wind spirit. ""The other is dried mud from a medicine wallow. If the Buffalo catch up with you, first throw behind you the magic herb. If they come too close to you again, throw down the dried mud.""The next day was the day of the race. At sunrise the young Buffalo gathered at the starting place. When Braveness joined them, they began making fun of him, telling him he was a man buffalo and therefore had not the power to outrun them. Braveness ignored their jeers, and calmly lined up with them at the starting point.An old Buffalo started the race with a loud bellow, and at first Braveness took the lead, running very swiftly. But soon the others began gaining on him, and when he heard their hard breathing close upon his heels, he threw the magic herb behind him. By this time he was growing very tired and thought he could not run any more. He looked back and saw one Buffalo holding his head down and coming very fast, rapidly closing the space between him and Braveness. Just as this Buffalo was about to catch up with him, Braveness threw down the dried mud from the medicine wallow.Soon he was far ahead again, but he knew that he had used up the powers given him by the Wind spirit. As he neared the goal set for the race, he heard the pounding of hooves coming closer behind him. At the last moment, he felt a strong wind on his face as it passed him to stir up dust and keep the Buffalo from overtaking him. With the help of the Wind spirit, Braveness crossed the goal first and won the race. After that, none of the Buffalo ever challenged him again, and he and Buffalo Woman lived peacefully with the herd until they were ready to return to his Caddo people.Not long after their return to Braveness's home, Buffalo Woman gave birth to a handsome son. They named him Buffalo Boy, and soon he was old enough to play with the other children of the village. One day while Buffalo Woman was cooking dinner, the boy slipped out of the lodge and went to join some other children at play. They played several games and then decided to play that they were Buffalo. Some of them lay on the ground to roll like Buffalo, and Buffalo Boy also did this. When he rolled over twice, he changed into a real Buffalo calf. Frightened by this, the other children ran for their lodges.About this time his mother came out to look for him, and when she saw the children running in fear she knew that something must be wrong. She went to see what had happened and found her son changed into a Buffalo calf. Taking him up in her arms, she ran down the hill, and as soon as she was out of sight of the village she turned herself into a Buffalo and with Buffalo Boy started off toward the west.Late that evening when Braveness returned from hunting he could find neither his wife nor his son in the lodge. He went out to look for them, and someone told him of the game the children had played and of the magic that had changed his son into a Buffalo calf.At first, Braveness could not believe what they told him, but after he had followed his wife's tracks down the hill and found the place where she had rolled he knew the story was true. For many moons, Braveness searched for Buffalo Woman and Buffalo Boy, but he never found them again."
North America,Native America,"The Rabbit was a great runner, and everybody knew it. No one thought the Terrapin anything but a slow traveler, but he was a great warrior and very boastful, and the two were always disputing about their speed.At last they agreed to decide the matter by a race. They fixed the day and the starting place and arranged to run across four mountain ridges, and the one who came in first at the end was to be the winner.The Rabbit felt so sure of it that he said to the Terrapin, ""You know you can't run. You can never win the race, so I'll give you the first ridge and then you'll have only three to cross while I go over four.""The Terrapin said that would he all right, but that night when he went home to his family he sent for his Terrapin friends and told them he wanted their help. He said he knew he could not outrun the Rabbit, but he wanted to stop the Rabbit's boasting. He explained his plan to his friends and they agreed to help him.When the day came all the animals were there to see the race. The Rabbit was with them, but the Terrapin was gone ahead toward the first ridge, as they had arranged, and they could hardly see him on account of the long grass.The word was given and the Rabbit started off with long jumps up the mountain, expecting to win the race before the Terrapin could get down the other side. But before he got up the mountain he saw the Terrapin go over the ridge ahead of him. He ran on, and when he reached the top he looked all around, but could not see the Terrapin on account of the long grass. He kept on down the mountain and began to climb the second ridge, but when he looked up again there was the Terrapin just going over the top.Now he was surprised and made his longest jumps to catch up, but when he got to the top there was the Terrapin away in front going over the third ridge. The Rabbit was getting tired now and nearly out of breath, but he kept on down the mountain and up the other ridge until he got to the top just in time to see the Terrapin cross the fourth ridge and thus win the race.The Rabbit could not make another jump, but fell over on the ground, crying mï, mï, mï, mï, as the Rabbit does ever since when he is too tired to run any more. The race was given to the Terrapin and all the animals wondered how he could win against the Rabbit, but he kept still and never told. It was easy enough, however, because all the Terrapin's friends looked just alike, and he had simply posted one near the top of each ridge to wait until the Rabbit came in sight and then climb over and hide in the long grass.When the Rabbit came on he could not find the Terrapin and so thought the Terrapin was ahead, and if he had met one of the other terrapins he would have thought it the same one because they looked so much alike. The real Terrapin had posted himself on the fourth ridge, so as to come in at the end of the race and be ready to answer questions if the animals suspected anything.Because the Rabbit had to lie down and lose the race the conjurer now, when preparing his young men for the ball play, boils a lot of rabbit hamstrings into a soup, and sends some one at night to pour it across the path along which the other players are to come in the morning, so that they may become tired in the same way and lose the game.It is not always easy to do this, because the other party is expecting it and has watchers ahead to prevent it."
North America,Native America,"When the Terrapin won the race from the Rabbit, all the animals wondered and talked about it a great deal, because they had always thought the Terrapin slow, although they knew that he was a warrior and had many conjuring secrets beside.But the Turkey was not satisfied and told the others there must be some trick about it. Said he, ""I know the Terrapin can't run, he can hardly crawl, and I'm going to try him.""So one day the Turkey met the Terrapin coming home from war with a fresh scalp hanging from his neck and dragging on the ground as he traveled.The Turkey laughed at the sight and said: ""That scalp don't look right on you. Your neck is too short and low down to wear it that way. Let me show you.""The Terrapin agreed and gave the scalp to the Turkey, who fastened it around his neck.""Now,"" said the Turkey, ""I'll walk a little way and you can see how it looks."" So he walked ahead a short distance and then turned and asked the Terrapin how he liked it.Said the Terrapin, ""It looks very nice; it becomes you.""""Now I'll fix it in a different way and let you see how it looks,"" said the Turkey. So he gave the string another pull and walked ahead again.""O, that looks very nice,"" said the Terrapin.But the Turkey kept on walking, and when the Terrapin called to him to bring back the scalp he only walked faster and broke into a run.Then the Terrapin got out his bow and by his conjuring art shot a number of cane splints into the Turkey's leg to cripple him so that he could not run, which accounts for all the many small bones in the Turkey's leg, that are of no use whatever; but the Terrapin never caught the Turkey, who still wears the scalp from his neck."
North America,Native America,"In ancient times, there were so many people in the land that they lived everywhere. Soon hunting became bad and food scarce, so that the people quarreled over hunting territories.Even in those days, the people were skilled in making fine canoes and paddles from cedars, and clothing and baskets from their bark. In dreams their wise old men could see the future, and there came a time when they all had similar bad dreams that kept coming to them over and over again. The dreams warned of a great flood. This troubled the wise men who told each other about their dreams. They found that they all had dreamed that rain fell for such a long time, or that the river rose, causing a great flood so that all of the people were drowned. They were much afraid and called a council to hear their dreams and decide what should be done. One said that they should build a great raft by tying many canoes together. Some of the people agreed, but others laughed at the old men and their dreams.The people who believed in the dreams worked hard building the raft. It took many moons of hard work, lashing huge cedar log canoes together with strong ropes of cedar bark. When it was completed, they tied the raft with a great rope of cedar bark to the top of Mount Cowichan by passing one end of the rope through the center of a huge stone which can still be seen there.During the time the people were working on the raft, those who did not believe in the dreams were idle and still laughed, but they did admire the fine, solid raft when it was at last finished and floated in Cowichan Bay.Soon after the raft was ready, huge raindrops started falling, rivers overflowed, and the valleys were flooded. Although people climbed Mount Cowichan to avoid the great flood, it too was soon under water. But those who had believed the dreams took food to the raft and they and their families climbed into it as the waters rose. They lived on the raft many days and could see nothing but water. Even the mountain tops had disappeared beneath the flood. The people became much afraid when their canoes began to flood and they prayed for help. Nothing happened for a long time; then the rain stopped.The waters began to go down after a time, and finally the raft was grounded on top of Mount Cowichan. The huge stone anchor and heavy rope had held it safe. As the water gradually sank lower and lower, the people could see their lands, but their homes had all been swept away. The valleys and forests had been destroyed. The people went back to their old land and started to rebuild their homes.After a long time the number of people increased, until once again the land was filled and the people started to quarrel again. This time they separated into tribes and clans, all going to different places. The storytellers say this is how people spread all over the Earth."
North America,Native America,"Mahto was a very small bear when he came into this world. He was born in a cave deep within the earth and was not big enough to harm anybody. His mother called him Mahtociqala in the language of the people.When his mother awoke from her long sleep, she took Small Bear out into the bright sunshine of spring.""What are these creatures flying high above my head?"" asked Small Bear. ""Wambli,"" his mother replied in her low gruff voice. ""It is from Eagle that we learn to live our life in dignity. "" ""Eagle's eyes are keener than our own, so we always listen to warnings he sends from above.""Small Bear's mother led him across the sweet-smelling meadow to the edge of a river where she would teach him to drink. He put his nose into the cold, clear water and took a taste. The shock of the rushing water made him instantly alert and watchful. Many years later, when he had grown into his warrior name, Mahto would remember his first drink. Whenever he needed clarity of thought or alertness for hunting, he would plunge himself into the river to prepare himself for the task.Mahto remembered his early days with fondness, for his mother was a great teacher. She always protected him and gave him guidance for living the fullness of life.She taught him how to hunt for grubs inside the rotting trunks of fallen fir trees. She taught him which flowers and grasses were sweetest, which roots would make him strong, and which berries would fill out his flesh for his first long winter's sleep.And she taught him how to catch the red fish as they came crashing up against him in the slippery river. Mahto's mother showed him a special place between two craggy rocks where he could lodge himself.""Wait quietly and with patience in this place,"" she said, ""and the great red flashing, thrashing things will jump right into your mouth.""And so it was that the people learned to fish......by watching Mahto and his mother. From that time forth, Mahto and the people never went hungry, as long as he and his brothers could be seen fishing in the river. And the people sang praises and danced for the gift of Mahto and his Mother."
North America,Native America,"A long time ago, in a happy Hopi village, there lived a little boy. His mother loved him so much that she dressed him in a pretty shirt and embroidered moccasins.One day the boy wandered away from the village, over the plain, and a band of fierce Navaho Indians swooped down and bore him off. They carried him to their camp, where the squaws took his shirt and moccasins away, and gave them to the Chief's son. Then they made the boy work all day, and gave him so little to eat, that, in a few weeks, he grew thin and sick.Now, near the Navaho camp was a high bluff on which lived a kind-hearted Hawk. It often flew over the camp, and saw the boy working hard, and never playing with the other children. So one day, when all the Navahos were gathered together at the Chief's lodge, the Hawk flew down and hovered over the boy's head.""Oh, do not kill me!"" begged the boy.""I am not going to hurt you,"" answered the Hawk, ""I am sorry for you. Jump on my back, and hold on to my wings, and I'll carry you away.""The boy jumped on its back, and held on tight, and the bird flew up in the air. It passed over the place where the Navahos were gathered, and when they saw the boy on the back of the Hawk, they were filled with rage and wonder.The bird flew to the high bluff, and put down the boy, then it went back to the camp. It swooped down on the Chief's little son, and pulling off his embroidered shirt, carried it to the boy. Then the Hawk returned to the camp again, and taking a pair of handsome moccasins off another boy, carried them to the bluff. The Navahos were terribly frightened, and packing up their goods, left the place.The Hawk first dressed the boy, then fed him on Rabbit-meat, and other good things. After that it took him on its back and flew with him to his mother. Then, without waiting to be thanked, the bird flew away again to its bluff."
North America,Native America,"Waupee, or the White Hawk, lived in a remote part of the forest, where animals abounded. Every day he returned from the chase with a large spoil, for he was one of the most skillful and lucky hunters of his tribe. His form was like the cedar; the fire of youth beamed from his eye; there was no forest too gloomy for him to penetrate, and no track made by bird or beast of any kind which he could not readily follow.One day he had gone beyond any point which he had ever before visited. He traveled through an open wood, which enabled him to see a great distance. At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. It was a wide plain, covered with long blue grass, and enameled with flowers of a thousand lovely tints.After walking for some time without a path, musing upon the open country, and enjoying the fragrant breeze, he suddenly came to a ring worn among the grass and the flowers, as if it had been made by footsteps moving lightly round and round. But it was strange—so strange as to cause the White Hawk to pause and gaze long and fixedly upon the ground—there was no path which led to this flowery circle. There was not even a crushed leaf nor a broken twig, nor the least trace of a footstep, approaching or retiring, to be found. He thought he would hide himself and lie in wait to discover, if he could, what this strange circle meant.Presently he heard the faint sounds of music in the air. He looked up in the direction they came from, and as the magic notes died away he saw a small object, like a little summer cloud that approaches the earth, floating down from above. At first it was very small, and seemed as if it could have been blown away by the first breeze that came along; but it rapidly grew as he gazed upon it, and the music every moment came clearer and more sweetly to his ear. As it neared the earth it appeared as a basket, and it was filled with twelve sisters, of the most lovely forms and enchanting beauty.As soon as the basket touched the ground they leaped out, and began straightway to dance, in the most joyous manner, around the magic ring, striking, as they did so, a shining ball, which uttered the most ravishing melodies, and kept time as they danced.The White Hawk, from his concealment, entranced, gazed upon their graceful forms and movements. He admired them all, but he was most pleased with the youngest. He longed to be at her side, to embrace her, to call her his own; and unable to remain longer a silent admirer, he rushed out and endeavored to seize this twelfth beauty who so enchanted him. But the sisters, with the quickness of birds, the moment they descried the form of a man, leaped back into the basket, and were drawn up into the sky.Lamenting his ill-luck, Waupee gazed longingly upon the fairy basket as it ascended and bore the lovely sisters from his view. ""They are gone,"" he said, ""and I shall see them no more.""He returned to his solitary lodge, but he found no relief to his mind. He walked abroad, but to look at the sky, which had withdrawn from his sight the only being he had ever loved, was painful to him now.The next day, selecting the same hour, the White Hawk went back to the prairie, and took his station near the ring; in order to deceive the sisters, he assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud. He had not waited long when he saw the cloudy basket descend, and heard the same sweet music falling as before. He crept slowly toward the ring; but the instant the sisters caught sight of him they were startled, and sprang into their car. It rose a short distance when one of the elder sisters spoke:""Perhaps,"" she said, ""it is come to show us how the game is played by mortals.""""Oh no,"" the youngest replied; ""quick, let us ascend.""And all joining in a chant, they rose out of sight.Waupee, casting off his disguise, walked sorrowfully back to his lodge—but ah, the night seemed very long to lonely White Hawk! His whole soul was filled with the thought of the beautiful sister.Betimes, the next day, he returned to the haunted spot, hoping and fearing, and sighing as though his very soul would leave his body in its anguish. He reflected upon the plan he should follow to secure success. He had already failed twice; to fail a third time would be fatal. Near by he found an old stump, much covered with moss, and just then in use as the residence of a number of mice, who had stopped there on a pilgrimage to some relatives on the other side of the prairie. The White Hawk was so pleased with their tidy little forms that he thought he, too, would be a mouse, especially as they were by no means formidable to look at, and would not be at all likely to create alarm.He accordingly, having first brought the stump and set it near the ring, without further notice became a mouse, and peeped and sported about, and kept his sharp little eyes busy with the others; but he did not forget to keep one eye up toward the sky, and one ear wide open in the same direction.It was not long before the sisters, at their customary hour, came down and resumed their sport.""But see,"" cried the younger sister, ""that stump was not there before.""She ran off, frightened, toward the basket. Her sisters only smiled, and gathering round the old tree-stump, they struck it, in jest, when out ran the mice, and among them Waupee. They killed them all but one, which was pursued by the younger sister. Just as she had raised a silver stick which she held in her hand to put an end to it, too, the form of the White Hawk arose, and he clasped his prize in his arms. The other eleven sprang to their basket, and were drawn up to the skies.Waupee exerted all his skill to please his bride and win her affections. He wiped the tears from her eyes; he related his adventures in the chase; he dwelt upon the charms of life on the earth. He was constant in his attentions, keeping fondly by her side, and picking out the way for her to walk as he led her gently toward his lodge. He felt his heart glow with joy as he entered it, and from that moment he was one of the happiest of men.Winter and summer passed rapidly away, and as the spring drew near with its balmy gales and its many-colored flowers, their happiness was increased by the presence of a beautiful boy in their lodge. What more of earthly blessing was there for them to enjoy?Waupee's wife was a daughter of one of the stars; and as the scenes of earth began to pall upon her sight, she sighed to revisit her father. But she was obliged to hide these feelings from her husband. She remembered the charm that would carry her up, and while White Hawk was engaged in the chase, she took occasion to construct a wicker basket, which she kept concealed. In the mean time, she collected such rarities from the earth as she thought would please her father, as well as the most dainty kinds of food.One day when Waupee was absent, and all was in readiness, she went out to the charmed ring, taking with her her little son. As they entered the car she commenced her magical song, and the basket rose. The song was sad, and of a lowly and mournful cadence, and as it was wafted far away by the wind, it caught her husband's ear. It was a voice which he well knew, and he instantly ran to the prairie. Though he made breathless speed, he could not reach the ring before his wife and child had ascended beyond his reach. He lifted up his voice in loud appeals, but they were unavailing. The basket still went up. He watched it till it became a small speck, and finally it vanished in the sky. He then bent his head down to the ground, and was miserable.Through a long winter and a long summer Waupee bewailed his loss, but he found no relief. The beautiful spirit had come and gone, and he should see it no more!He mourned his wife's loss sorely, but his son's still more; for the boy had both the mother's beauty and the father's strength.In the mean time his wife had reached her home in the stars, and in the blissful employments of her father's house she had almost forgotten that she had left a husband upon the earth. But her son, as he grew up, resembled more and more his father, and every day he was restless and anxious to visit the scene of his birth. His grandfather said to his daughter, one day:""Go, my child, and take your son down to his father, and ask him to come up and live with us. But tell him to bring along a specimen of each kind of bird and animal he kills in the chase.""She accordingly took the boy and descended. The White Hawk, who was ever near the enchanted spot, heard her voice as she came down the sky. His heart beat with impatience as he saw her form and that of his son, and they were soon clasped in his arms.He heard the message of the Star, and he began to hunt with the greatest activity, that he might collect the present with all dispatch. He spent whole nights, as well as days, in searching for every curious and beautiful animal and bird. He only preserved a foot, a wing, or a tail of each.When all was ready, Waupee visited once more each favorite spot—the hill-top whence he had been used to see the rising sun; the stream where he had sported as a boy; the old lodge, now looking sad and solemn, which he was to sit in no more; and last of all, coming to the magic circle, he gazed widely around him with tearful eyes, and, taking his wife and child by the hand, they entered the car and were drawn up—into a country far beyond the flight of birds, or the power of mortal eye to pierce.Great joy was manifested upon their arrival at the starry plains. The Star Chief invited all his people to a feast; and when they had assembled, he proclaimed aloud that each one might continue as he was, an inhabitant of his own dominions, or select of the earthly gifts such as he liked best. A very strange confusion immediately arose; not one but sprang forward. Some chose a foot, some a wing, some a tail, and some a claw. Those who selected tails or claws were changed into animals, and ran off; the others assumed the form of birds, and flew away. Waupee chose a white hawk's feather. His wife and son followed his example, and each one became a white hawk. He spread his wings, and, followed by his wife and son, descended with the other birds to the earth, where he is still to be found, with the brightness of the starry plains in his eye, and the freedom of the heavenly breezes in his wings."
